bucket,contract_id,job_title,job_amount,category,subcategory,num_opening_attachments,opening_attachment_files,num_deliverable_files,deliverable_files,has_milestones_json,has_chat_messages_json
unpaid_no_deliverable,44104854,TaxDome End-to-End Pipeline Build: Onboarding Through Return Delivery,400.00000000,"Web, Mobile & Software Dev",Web Development,0,,0,,False,True
unpaid_no_deliverable,44127283,Weeks 156-157,400.00000000,Sales & Marketing,Lead Generation & Telemarketing,0,,0,,False,True
unpaid_no_deliverable,44128864,Agua Arc Proposal Design - GreenLatinos RFQ,1400.00000000,Design & Creative,"Graphic, Editorial & Presentation Design",0,,0,,False,True
unpaid_no_deliverable,44135417,CAD Design Engineer for 3D Conversion,,Engineering & Architecture,3D Modeling & CAD,0,,0,,False,True
unpaid_no_deliverable,44138599,FB Video Ads Nutra,15.00000000,Design & Creative,Video & Animation,1,attachments/newvid.mp4,0,,False,True
unpaid_no_deliverable,44154158,Technical Photographer/Videographer for Strict Lighting & Angle Requirements,375.00000000,Design & Creative,Photography,0,,0,,False,True
unpaid_no_deliverable,44159104,Webflow Expert Needed for Simple SaaS Landing Page (Fast Turnaround),300.00000000,"Web, Mobile & Software Dev",Web & Mobile Design,0,,0,,False,True
unpaid_no_deliverable,44177602,International Executive Assistant & Operations Generalist,,Admin Support,Virtual Assistance,0,,0,,False,True
unpaid_no_deliverable,44178003,Audit Job - Stephen Fitz,200.00000000,Sales & Marketing,Digital Marketing,0,,0,,False,True
unpaid_no_deliverable,44183304,Mechanical Design Engineer Needed,200.00000000,Engineering & Architecture,Energy & Mechanical Engineering,0,,0,,False,True
unpaid_no_deliverable,44184863,Children's Book Character Sheet Illustrator Needed,10.00000000,Design & Creative,Art & Illustration,0,,0,,False,True
unpaid_no_deliverable,44184953,Troubleshoot and fix.,,Data Science & Analytics,AI & Machine Learning,0,,0,,False,True
unpaid_no_deliverable,44186585,WordPress Developer - Site Speed Optimization,,"Web, Mobile & Software Dev",Web Development,0,,0,,False,True
unpaid_no_deliverable,44189205,Paperback Cover: Blurb Edit & Font Consistency Fix,30.00000000,Design & Creative,"Graphic, Editorial & Presentation Design",0,,0,,False,True
unpaid_no_deliverable,44193787,Data Entry for Webinar Registrants,65.00000000,Admin Support,Data Entry & Transcription Services,0,,0,,False,True
unpaid_no_deliverable,44202166,Graphic Illustrator,30.00000000,Design & Creative,Art & Illustration,0,,0,,False,True
unpaid_with_deliverable,43804272,Update Android and Apple App and Localise to 87 languages,400.00000000,"Web, Mobile & Software Dev",Mobile Development,0,,4,deliverables/.DS_Store;deliverables/unpaid_18750259/Simulator Screenshot - iPhone 16 - 2026-07-28 at 06.50.03.png;deliverables/unpaid_18750259/Simulator Screenshot - iPhone 16 - 2026-07-28 at 06.50.07.png;deliverables/unpaid_18750259/Simulator Screenshot - iPhone 16 - 2026-07-28 at 06.50.05.png,True,True
unpaid_with_deliverable,44036410,Security report redesign x 4,180.00000000,Design & Creative,"Graphic, Editorial & Presentation Design",0,,8,deliverables/unpaid_18704967/F_RR-03.pdf;deliverables/unpaid_18704967/F_RR-02.pdf;deliverables/unpaid_18704967/V2_REV-1_RR-01.pdf;deliverables/unpaid_18704967/F_RR-04.pdf;deliverables/unpaid_18704967/RR-03.docx;deliverables/unpaid_18704967/RR-02.docx;deliverables/unpaid_18704967/V2_REV-1_RR-01.docx;deliverables/unpaid_18704967/RR-04.docx,True,True
unpaid_with_deliverable,44039904,"Blog, guest post, on page seo, off page seo",,Sales & Marketing,Digital Marketing,0,,1,deliverables/unpaid_18756421/Monthly _Work_Report_on_apripex.com_24-07-2026.xlsx,True,True
unpaid_with_deliverable,44063994,UGC video actress,50.00000000,Design & Creative,Performing Arts,0,,1,deliverables/unpaid_18707854/link 2.docx,True,True
unpaid_with_deliverable,44099875,Looker Studio BigQuery Migration,300.00000000,Data Science & Analytics,Data Analysis & Testing,0,,2,deliverables/unpaid_18761692/Fishwife___Analytics_&_Marketing_Dashboard.pdf;deliverables/unpaid_18761692/PetMeds___Analytics_&_Marketing_Dashboard.pdf,True,True
unpaid_with_deliverable,44100158,Thumbnail for youtube video,,Design & Creative,"Graphic, Editorial & Presentation Design",0,,1,deliverables/unpaid_18713351/tn - 3.jpg,True,True
unpaid_with_deliverable,44113196,ugc video production,55.00000000,Design & Creative,Video & Animation,0,,1,deliverables/unpaid_18748739/Igbo hs.MOV,True,True
unpaid_with_deliverable,44132019,Financial Model,250.00000000,Accounting & Consulting,Financial Planning,0,,2,deliverables/rejected_18730583/FleetPods FM V2.xlsx;deliverables/rejected_18736280/FleetPods Alberta Presentation V1.pptx,True,True
unpaid_with_deliverable,44151581,Final Polish and Minor Edits for a 95% Complete Chinese Sales Page on Kajabi,8.00000000,Sales & Marketing,Digital Marketing,0,,2,deliverables/unpaid_18743599/screencapture-jim-liao-25a8-mykajabi-encore-page-1780470506-1784971349-1-2026-07-26-22_31_41.png;deliverables/unpaid_18743599/screencapture-jim-liao-25a8-mykajabi-encore-page-1780470506-1784971349-2026-07-26-22_31_21.png,True,True
unpaid_with_deliverable,44157148,Leadership Interview Questions Book (2nd Edition) - Ghostwriter Required,,Writing,Content Writing,0,,1,deliverables/unpaid_18755726/JA Milestone 1 (1).docx,True,True
unpaid_with_deliverable,44159601,Senior Full-Stack / Platform Engineer for AI SaaS Platform,,"Web, Mobile & Software Dev",Web Development,0,,14,deliverables/unpaid_18746567/BIQc Audit ΓÇö Markdown source/04_EVIDENCE_LOG.md;deliverables/unpaid_18746567/BIQc Audit ΓÇö Markdown source/01_FOUNDER_SUMMARY.md;deliverables/unpaid_18746567/BIQc Audit ΓÇö Markdown source/05_SCOPE_AND_TIMELINE.md;deliverables/unpaid_18746567/BIQc Audit ΓÇö Markdown source/03_REMEDIATION_PLAN.md;deliverables/unpaid_18746567/BIQc Audit ΓÇö Markdown source/06_ASSUMPTIONS_EXCLUSIONS_AND_DECISIONS.md;deliverables/unpaid_18746567/BIQc Audit ΓÇö Markdown source/02_FINDINGS_REGISTER.md;deliverables/unpaid_18746567/BIQc Audit ΓÇö Markdown source/00_START_HERE.md;deliverables/unpaid_18746567/BIQc Audit ΓÇö Word/04_EVIDENCE_LOG.docx;deliverables/unpaid_18746567/BIQc Audit ΓÇö Word/06_ASSUMPTIONS_EXCLUSIONS_AND_DECISIONS.docx;deliverables/unpaid_18746567/BIQc Audit ΓÇö Word/05_SCOPE_AND_TIMELINE.docx;deliverables/unpaid_18746567/BIQc Audit ΓÇö Word/03_REMEDIATION_PLAN.docx;deliverables/unpaid_18746567/BIQc Audit ΓÇö Word/01_FOUNDER_SUMMARY.docx;deliverables/unpaid_18746567/BIQc Audit ΓÇö Word/00_START_HERE.docx;deliverables/unpaid_18746567/BIQc Audit ΓÇö Word/02_FINDINGS_REGISTER.docx,True,True
unpaid_with_deliverable,44166278,Full Stack Developer Needed – Billing Software (Flutter + NestJS),22.00000000,"Web, Mobile & Software Dev",Web Development,1,attachments/Billing_Software_Requirements_Enhanced_7Days.docx,1,deliverables/rejected_18758895/BillMaster-Work-Completed.pdf,True,True
unpaid_with_deliverable,44190396,"Looking for a Full stack developer Python, FAST API to enhance an existing agent on our platform",850.00000000,"Web, Mobile & Software Dev",Web Development,2,attachments/GIA for SHOPLINE-One-pager.pdf;attachments/GIA-FOR-SHOPLINE-TECHNICAL COMPLIANCE-ONE-PAGER.pdf,1,deliverables/unpaid_18764804/UPWORK-MILESTONE-SUBMISSION.md,True,True
unpaid_with_deliverable,44199774,Review of Translation and Voiceover in Danish,110.00000000,Translation,Translation & Localization Services,0,,1,deliverables/unpaid_18763469/DK_DK_KLARLUNDPEDERSEN_ORIGINAL_WORK.docx,True,True
unpaid_with_deliverable,44199905,"Medical Book Editor & Proofreader Needed (2 Books, Under 40,000 Words Total)",200.00000000,Writing,Editing & Proofreading Services,0,,4,deliverables/unpaid_18764287/Amoxicillin final.docx;deliverables/unpaid_18764287/Amoxicillin tracked.docx;deliverables/unpaid_18764287/Viagra final.docx;deliverables/unpaid_18764287/Viagra edits.docx,True,True
